1560200  Version 1.06   ;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14
09/11/2020 14:20;;;;;;;;;;;;;;;
Serial Number:;19103026;;;;;;;;;;;;;;
Protocol Name:;euroimmune elisa;;;;;;;;;;;;;;
Read:;Normal; 00:05 Shake;;;;;;;;;;;;;
Blanks:;None;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
450;;1;2;3;4;5;6;7;8;9;10;11;12;;
;A;0.481;0.473;0;0;0;0;0;0;0;0;0;0;;
;B;1;0.923;0;0;0;0;0;0;0;0;0;0;;
;C;0.064;0.064;0;0;0;0;0;0;0;0;0;0;;
;D;0.041;0.043;0;0;0;0;0;0;0;0;0;0;;
;E;0.043;0.041;0;0;0;0;0;0;0;0;0;0;;
;F;0.04;0.042;0;0;0;0;0;0;0;0;0;0;;
;G;0.042;0.041;0;0;0;0;0;0;0;0;0;0;;
;H;0.04;0.042;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;
630;;1;2;3;4;5;6;7;8;9;10;11;12;;
;A;0.036;0.039;0;0;0;0;0;0;0;0;0;0;;
;B;0.038;0.041;0;0;0;0;0;0;0;0;0;0;;
;C;0.039;0.038;0;0;0;0;0;0;0;0;0;0;;
;D;0.036;0.041;0;0;0;0;0;0;0;0;0;0;;
;E;0.04;0.037;0;0;0;0;0;0;0;0;0;0;;
;F;0.035;0.038;0;0;0;0;0;0;0;0;0;0;;
;G;0.04;0.037;0;0;0;0;0;0;0;0;0;0;;
;H;0.037;0.039;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;
Delta  ;;1;2;3;4;5;6;7;8;9;10;11;12;;
;A;0.445;0.434;0;0;0;0;0;0;0;0;0;0;;
;B;0.962;0.882;0;0;0;0;0;0;0;0;0;0;;
;C;0.025;0.026;0;0;0;0;0;0;0;0;0;0;;
;D;0.995;0.985;0;0;0;0;0;0;0;0;0;0;;
;E;0.081;0.072;0;0;0;0;0;0;0;0;0;0;;
;F;0.005;0.004;0;0;0;0;0;0;0;0;0;0;;
;G;0.002;0.004;0;0;0;0;0;0;0;0;0;0;;
;H;0.003;0.003;0;0;0;0;0;0;0;0;0;0;;
